nsb,nsb,s7,s7,bp3.1.20,bp3.1.20
b0,b0,k32,k32,bp4.1.20,bp4.1.20
s1,s1,k33,k33,bm1,bm1
s2,s2,bp1,bp1,bm2,bm2
s3,s3,bp2,bp2,bm3.1.20,bm3.1.20
s4,s4,bp3,bp3,bm4,bm4
s5,s5,bp4,bp4,bm5,bm5
s6,s6,bp5,bp5,bm5.1.20,bm5.1.20
